"","TX202145335","TX240130218","TX240130255","TX252145317","TX263105336","TX263105978","TX272136690","TX272136698","TX272136699","TX279103530","TX279103554","TX279103561","TX279103567","TX279103583","TX279103586","TX281118809","TX281118812","TX281118835"
"ASV391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0
"ASV392",0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"ASV393",0,0,0,52,0,6,0,6,0,0,0,0,0,0,0,0,0,33
"ASV395",0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,71
"ASV396",0,0,0,0,0,0,96,0,6,0,0,0,0,0,0,0,0,0
"ASV399",0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,57
"ASV403",11,9,0,0,13,37,0,0,0,0,0,0,0,30,0,0,0,0
"ASV404",0,0,0,19,0,0,0,0,0,0,72,0,0,0,9,0,0,0
"ASV405",0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,63
"ASV406",0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0
"ASV407",0,0,0,0,0,0,0,0,0,0,0,0,0,70,30,0,0,0
"ASV408",19,0,0,0,10,21,0,0,49,0,0,0,0,0,0,0,0,0
"ASV409",0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV410",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,91
"ASV416",0,23,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0
"ASV422",0,0,0,0,0,0,31,0,64,0,0,0,0,0,0,0,0,0
"ASV424",0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
"ASV430",0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
"ASV432",0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,37
"ASV435",0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,48
"ASV438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0
"ASV440",0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,72
"ASV444",0,0,0,38,21,0,0,0,0,0,0,0,0,0,0,0,0,31
"ASV445",0,0,0,0,0,0,0,0,0,23,0,6,24,0,0,9,14,0
"ASV451",26,15,24,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"ASV452",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
"ASV462",0,0,18,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
"ASV465",0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,39
"ASV466",0,0,0,0,0,0,0,19,68,0,0,0,0,0,0,0,0,0
"ASV467",0,0,0,0,0,0,0,0,0,3,74,0,1,0,1,0,0,0
"ASV472",0,0,0,56,8,22,0,0,0,0,0,0,0,0,0,0,0,0
"ASV473",0,0,0,0,0,3,0,63,0,0,0,0,0,0,0,0,0,20
"ASV474",0,0,0,0,0,0,0,0,0,23,0,0,30,0,0,0,0,0
"ASV475",0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
"ASV479",16,0,0,0,0,20,1,17,3,0,0,0,0,0,0,0,0,28
"ASV480",0,0,0,20,28,0,0,0,0,0,0,0,0,0,0,0,0,37
"ASV482",16,31,0,0,16,21,0,0,0,0,0,0,0,0,0,0,0,0
"ASV483",0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,57,13
