"","NPCR-Txbird2","NXC-Txbird1","NXC-Txbird2","TX202145335","TX240130218","TX240130255","TX252145317","TX263105336","TX263105978","TX272133628","TX272136652","TX272136690","TX272136690-mb","TX272136698","TX272136698-mb","TX272136699","TX272136699-mb","TX279103530","TX279103546","TX279103554","TX279103554-mb","TX279103561","TX279103567","TX279103583","TX279103583-mb","TX279103586","TX279103586-mb","TX281118809","TX281118812","TX281118817","TX281118817-mb","TX281118835"
"ASV155",25,0,0,0,0,0,0,0,0,0,0,16,0,21,0,0,0,0,0,19,0,0,0,51,0,30,0,0,104,11,0,0
"ASV156",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,212,0,0,0,6,0,0,16,0,0,6
"ASV157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0
"ASV158",0,0,0,0,9,0,0,0,30,0,0,46,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
"ASV159",0,0,0,35,40,40,0,0,24,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,76
"ASV160",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273
"ASV162",0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,35,45,0,0,31,43,0,0,0,0,25,59,0,0,0
"ASV163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
"ASV164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0
"ASV165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0
"ASV166",0,0,39,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,15
"ASV167",0,0,0,16,19,0,0,0,13,0,0,139,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
"ASV168",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,84,0,0,0,0,0
"ASV169",10,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,11
"ASV170",0,0,0,25,17,34,0,0,0,0,0,52,0,44,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,28
"ASV171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,113,0,0,0,67,0,0,57,0,0,0,0,0
"ASV172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0
"ASV173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV174",0,0,0,23,0,0,0,0,0,0,0,37,0,0,0,23,0,0,0,39,0,0,0,0,0,56,0,31,22,0,0,28
"ASV175",0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"ASV176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,77,56,0,0,0
"ASV177",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0
"ASV178",0,0,0,7,0,0,0,53,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
"ASV179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0
"ASV180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0
"ASV181",2,0,0,62,35,0,35,0,47,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0
